Event ID,Event Name,Event Category,Corresponding Level 1 Category,Test Event Yes/No,Event Type,Predecessor Event ID,Event Owner,Event Approver,Event Stage,Created On - Date,Created On - Time,Published On - Date,Published On - Time,End Date,End Time,Auction Start Date,Auction Start Time,Awarded On,Event Currency,Baseline Price,Event Savings,Awarded Savings
111,Main Event_ITL_LT Panel for Export Shed_Reverse Auction_4th Mar'24,Switches & controls & relays,Electrical systems & Lighting & components & accessories & supplies,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,01-Mar-2024,07:12 PM,04-Mar-2024,10:31 AM,04-Mar-2024,12:40 PM,04-Mar-2024,11:30 AM,-,INR,410000,48000,-
112,Main Event_ITL_Commercial LPG Cylinder 19Kg_Reverse Auction_4th Mar'24,Industrial use gases,Chemicals including Bio Chemicals & Gas Materials,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,01-Mar-2024,07:26 PM,04-Mar-2024,10:32 AM,04-Mar-2024,12:46 PM,04-Mar-2024,12:00 PM,-,INR,558799.5,95049.5,-
113,Main Event_ITL_Shifting of 1500KVA DG Set in HMS_Reverse Auction_4th Mar'24,Power generators,Power Generation & Distribution Machinery & Accessories,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,04-Mar-2024,12:18 PM,04-Mar-2024,12:25 PM,04-Mar-2024,03:56 PM,04-Mar-2024,03:00 PM,-,INR,790000,82000,-
114,Main Event_ITL_Steel 22MT_Reverse Auction_4th Mar'24,"Raw materials
Plate
Sheet
Pipe","Structures & Building & Construction & Manufacturing Components & Supplies
Paper Materials & Products
Distribution & Conditioning Systems & Equipment & Components",No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,04-Mar-2024,12:32 PM,04-Mar-2024,12:37 PM,04-Mar-2024,05:37 PM,04-Mar-2024,04:00 PM,-,INR,2576.8,6.1,-
115,Main Event_ITL_Propane Gas_Reverse Auction_4th Mar'24,Industrial use gases,Chemicals including Bio Chemicals & Gas Materials,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,04-Mar-2024,12:39 PM,04-Mar-2024,12:42 PM,04-Mar-2024,05:10 PM,04-Mar-2024,04:30 PM,-,INR,14981400,0,-
116,Main Event_ITL_Export by Air-AE31089 & Import by Sea-SI40454_Reverse Auction_5th Mar'24,Transport arrangements,Transportation & Storage & Mail Services,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,05-Mar-2024,03:23 PM,05-Mar-2024,03:31 PM,05-Mar-2024,05:10 PM,05-Mar-2024,04:30 PM,-,INR,521807.01,3690.01,-
117,Main Event_ITL_Leak Testing Machine for Transmission Assembly_Reverse Auction_6th Mar'24,Assembly machines,Industrial Manufacturing & Processing Machinery & Accessories,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,06-Mar-2024,09:51 AM,06-Mar-2024,09:54 AM,06-Mar-2024,12:10 PM,06-Mar-2024,11:30 AM,-,INR,3000000,0,-
118,"Main Event_ITL_Colour Coated Sheets, GI Gutter & Flashing_Sonalika Inds_Reverse Auction_6th Mar'24",Roofing & siding & sheet metal work,Building & Construction & Maintenance Services,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,06-Mar-2024,11:44 AM,06-Mar-2024,12:36 PM,06-Mar-2024,03:46 PM,06-Mar-2024,03:00 PM,-,INR,678350,11500,-
119,Main Event_ITL_Plastic Raw Materials_Cost Engg. Department_Reverse Auction_6th Mar'24,Thermoset plastics,Resin & Rosin & Rubber & Foam & Film & Elastomeric Materials,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,06-Mar-2024,12:19 PM,06-Mar-2024,12:35 PM,06-Mar-2024,04:57 PM,06-Mar-2024,04:00 PM,-,INR,3141.62,25.87,-
120,Main Event_ITL_VCI & Non-VCI Bags_Reverse Auction_6th Jan'24,Packaging boxes & bags & pouches,Material Handling & Conditioning & Storage Machinery & their Accessories & Supplies,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,06-Mar-2024,01:12 PM,06-Mar-2024,01:16 PM,06-Mar-2024,05:36 PM,06-Mar-2024,04:30 PM,-,INR,20.47,0.44,-
